FAC 1.1.5
Endian	= 0
TSess	= 1570375361
Type	= 1
Verbose	= 1
Ge Z	=  32.0
NBlocks	= 1
E0	= 0, -4.90495729E+04

NELE	= 10
NLEV	= 241
  ILEV  IBASE    ENERGY       P   VNL   2J
    49     -1  1.71397192E+03 1   402    8 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d+1(5)8
    50     -1  1.71400544E+03 1   402    6 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d-1(3)6
    51     -1  1.71416395E+03 1   402    4 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d+1(5)4
    52     -1  1.71501007E+03 1   402    4 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d-1(3)4
    53     -1  1.71577300E+03 1   402    6 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d+1(5)6
    54     -1  1.71956882E+03 1   402    2 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d+1(5)2
    55     -1  1.72139415E+03 0   401    2 1*2.2*7.4*1                      2p5.4p1                                          2p-1(1)1.4p-1(1)2
    56     -1  1.72457357E+03 0   401    2 1*2.2*7.4*1                      2p5.4p1                                          2p-1(1)1.4p+1(3)2
    57     -1  1.72491250E+03 0   401    4 1*2.2*7.4*1                      2p5.4p1                                          2p-1(1)1.4p+1(3)4
    58     -1  1.72536833E+03 0   403    2 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f-1(5)2
    59     -1  1.72557520E+03 0   403    8 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f-1(5)8
    60     -1  1.72571578E+03 0   403    4 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f+1(7)4
    61     -1  1.72572873E+03 0   403   10 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f+1(7)10
    62     -1  1.72630994E+03 0   403    6 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f+1(7)6
    63     -1  1.72642241E+03 0   403    4 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f-1(5)4
    64     -1  1.72648165E+03 0   403    6 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f-1(5)6
    65     -1  1.72669901E+03 0   403    8 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f+1(7)8
    66     -1  1.72671820E+03 0   401    0 1*2.2*7.4*1                      2p5.4p1                                          2p-1(1)1.4p-1(1)0
    67     -1  1.74641697E+03 1   402    4 1*2.2*7.4*1                      2p5.4d1                                          2p-1(1)1.4d-1(3)4
    68     -1  1.74708302E+03 1   402    4 1*2.2*7.4*1                      2p5.4d1                                          2p-1(1)1.4d+1(5)4
    69     -1  1.74753927E+03 1   402    6 1*2.2*7.4*1                      2p5.4d1                                          2p-1(1)1.4d+1(5)6
    70     -1  1.74978931E+03 1   402    2 1*2.2*7.4*1                      2p5.4d1                                          2p-1(1)1.4d-1(3)2
    71     -1  1.75847958E+03 0   403    6 1*2.2*7.4*1                      2p5.4f1                                          2p-1(1)1.4f-1(5)6
    72     -1  1.75879375E+03 0   403    8 1*2.2*7.4*1                      2p5.4f1                                          2p-1(1)1.4f+1(7)8
    73     -1  1.75881143E+03 0   403    4 1*2.2*7.4*1                      2p5.4f1                                          2p-1(1)1.4f-1(5)4
    74     -1  1.75887697E+03 0   403    6 1*2.2*7.4*1                      2p5.4f1                                          2p-1(1)1.4f+1(7)6
    75     -1  1.86067800E+03 1   500    4 1*2.2*7.5*1                      2p5.5s1                                          2p+3(3)3.5s+1(1)4
    76     -1  1.86102292E+03 0   400    2 1*2.2*7.4*1                      2s1.4s1                                          2s+1(1)1.4s+1(1)2
    77     -1  1.86114470E+03 1   500    2 1*2.2*7.5*1                      2p5.5s1                                          2p+3(3)3.5s+1(1)2
    78     -1  1.86463216E+03 0   400    0 1*2.2*7.4*1                      2s1.4s1                                          2s+1(1)1.4s+1(1)0
    79     -1  1.87008297E+03 0   501    4 1*2.2*7.5*1                      2p5.5p1                                          2p+3(3)3.5p-1(1)4
    80     -1  1.87017411E+03 0   501    2 1*2.2*7.5*1                      2p5.5p1                                          2p+3(3)3.5p-1(1)2
    81     -1  1.87133579E+03 0   501    6 1*2.2*7.5*1                      2p5.5p1                                          2p+3(3)3.5p+1(3)6
